,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,소재지주소
0,B000003905,안산양지초등학교,초등학교,2001-03-01,공립,본교,운영,경기도 안산시 단원구 고잔동  781-1,경기도 안산시 단원구 안산천남로  129(고잔동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.304744,126.8347977,2017-09-05,경기도 안산시 단원구
1,B000003906,시곡초등학교,초등학교,1994-06-01,공립,본교,운영,경기도 안산시 상록구 사2동  1344-2,경기도 안산시 상록구 감골1로  46(사동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.2888533,126.85245230000001,2017-09-05,경기도 안산시 상록구
2,B000003907,본오초등학교,초등학교,1939-03-20,공립,본교,운영,경기도 안산시 상록구 본오동  821,경기도 안산시 상록구 각골서로  49(본오동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.294533200000004,126.8686756,2017-09-05,경기도 안산시 상록구
3,B000003908,본원초등학교,초등학교,1995-06-01,공립,본교,운영,경기도 안산시 상록구 본오동  902,경기도 안산시 상록구 샘골로  83(본오동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.2911685,126.8619834,2017-09-05,경기도 안산시 상록구
4,B000003909,각골초등학교,초등학교,2002-03-01,공립,본교,운영,경기도 안산시 상록구 본오동  728-6,경기도 안산시 상록구 석호로  384(본오동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.292617,126.87334879999999,2017-09-05,경기도 안산시 상록구
5,B000003910,팔곡초등학교,초등학교,2007-03-01,공립,본교,운영,경기도 안산시 상록구 팔곡이동  385,경기도 안산시 상록구 팔곡두레길  71(팔곡이동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.297364,126.88284540000001,2017-09-05,경기도 안산시 상록구
6,B000003911,반월초등학교,초등학교,1923-05-30,공립,본교,운영,경기도 안산시 상록구 건건동  629,,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3053721,126.9013972,2017-09-05,경기도 안산시 상록구
7,B000003912,안산창촌초등학교,초등학교,2007-03-01,공립,본교,운영,경기도 안산시 상록구 건건동  619,경기도 안산시 상록구 건건5길  7(건건동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.307692200000005,126.9045574,2017-09-05,경기도 안산시 상록구
8,B000003913,안산초등학교,초등학교,1899-09-15,공립,본교,운영,경기도 안산시 상록구 수암동  177,경기도 안산시 상록구 수암2길  13-7(수암동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.364752200000005,126.8780946,2017-09-05,경기도 안산시 상록구
9,B000003914,상록초등학교,초등학교,1993-03-01,공립,본교,운영,경기도 안산시 상록구 본오3동  872-1,경기도 안산시 상록구 본오로  157(본오동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.2988338,126.8659152,2017-09-05,경기도 안산시 상록구
10,B000003915,이호초등학교,초등학교,1997-05-06,공립,본교,운영,경기도 안산시 상록구 본오1동  958,경기도 안산시 상록구 고목로3길  44(본오동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.2867093,126.86059650000001,2017-09-05,경기도 안산시 상록구
11,B000003916,정재초등학교,초등학교,1971-03-01,공립,본교,운영,경기도 안산시 상록구 부곡동  225-5,경기도 안산시 상록구 정재초교길  11(부곡동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3381245,126.86441,2017-09-05,경기도 안산시 상록구
12,B000003917,안산부곡초등학교,초등학교,1997-03-01,공립,본교,운영,경기도 안산시 상록구 부곡동  680,경기도 안산시 상록구 부곡로  73(부곡동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3290221,126.86012420000002,2017-09-05,경기도 안산시 상록구
13,B000003918,시랑초등학교,초등학교,2002-03-01,공립,본교,운영,경기도 안산시 상록구 부곡동  719-3,경기도 안산시 상록구 충장로  670(부곡동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.33619829999999,126.8558662,2017-09-05,경기도 안산시 상록구
14,B000003919,석호초등학교,초등학교,1966-05-02,공립,본교,운영,경기도 안산시 상록구 사동  1193,경기도 안산시 상록구 석호로  113(사동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3008045,126.8482209,2017-09-05,경기도 안산시 상록구
15,B000003920,초당초등학교,초등학교,1996-03-21,공립,본교,운영,경기도 안산시 상록구 사동  1389,경기도 안산시 상록구 초당로  25(사동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.28535720000001,126.85110970000001,2017-09-05,경기도 안산시 상록구
16,B000003921,경일초등학교,초등학교,1987-09-01,공립,본교,운영,경기도 안산시 상록구 성포동  591-1,경기도 안산시 상록구 성포로  47(성포동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.323921999999996,126.84768190000001,2017-09-05,경기도 안산시 상록구
17,B000003922,성포초등학교,초등학교,1990-03-01,공립,본교,운영,경기도 안산시 상록구 성포동  592-1,경기도 안산시 상록구 안산천동로  90(성포동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3240429,126.8425364,2017-09-05,경기도 안산시 상록구
18,B000003923,경수초등학교,초등학교,2000-05-04,공립,본교,운영,경기도 안산시 상록구 성포동  594-3,경기도 안산시 상록구 삼일로  670(성포동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.326992700000005,126.8506091,2017-09-05,경기도 안산시 상록구
19,B000003924,삼일초등학교,초등학교,1990-02-06,공립,본교,운영,경기도 안산시 상록구 월피동  448-1,경기도 안산시 상록구 월피로  42(월피동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3323379,126.85064309999998,2017-09-05,경기도 안산시 상록구
20,B000003925,안산광덕초등학교,초등학교,1996-03-01,공립,본교,운영,경기도 안산시 상록구 월피동  523,경기도 안산시 상록구 안산천서로3길  6-7(월피동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.332886200000004,126.8438782,2017-09-05,경기도 안산시 상록구
21,B000003926,학현초등학교,초등학교,2003-03-03,공립,본교,운영,경기도 안산시 상록구 이동  665-1,경기도 안산시 상록구 석호로  6(이동),7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,,37.3108044,126.8470585,2017-09-05,경기도 안산시 상록구
22,B000003431,대전가장초등학교,초등학교,1983-12-13,공립,본교,운영,대전광역시 서구 가장동  25-1,대전광역시 서구 가장로  150(가장동),7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,,36.3305372,127.3878807,2017-09-05,대전광역시 서구 가장동
23,B000004339,신곡초등학교,초등학교,2008-03-01,공립,본교,운영,경기도 김포시 고촌읍 신곡리  1267,경기도 김포시 고촌읍 수기로  67-30,7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,,37.596542299999996,126.76608909999999,2017-09-05,경기도 김포시 고촌읍
24,B000004363,증포초등학교,초등학교,2007-03-01,공립,본교,운영,경기도 이천시 증포동 477,경기도 이천시 이섭대천로 1418(증포동),7530000,경기도교육청,7741000,경기도이천교육지원청,2013-11-29,2017-02-28,37.2942755,127.4569669,2017-09-05,경기도 이천시 증포동
25,B000004340,마송중앙초등학교,초등학교,2010-03-01,공립,본교,운영,경기도 김포시 통진읍 마송리  499,경기도 김포시 통진읍 마송1로  140,7530000,경기도교육청,7771000,경기도김포교육지원청,2013-11-29,,37.6894042,126.59397450000002,2017-09-05,경기도 김포시 통진읍
