죄종별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년
총계,발생건수,건,1752598,1793400,1857276,1778966,1861657,1849450,1662341
총계,검거건수,건,1382463,1370121,1420658,1392112,1500234,1552455,1413717
총계,검거율,%,78.9,76.4,76.5,78.3,80.6,83.9,85
총계,검거인원,명,1902722,1928795,1962718,1930325,1999065,2029873,1833495
총계,남자검거인원,명,1484584,1480803,1503465,1462970,1487695,1542900,1387401
총계,여자검거인원,명,330649,331330,326987,328094,342480,353591,332831
총계,불상검거인원,명,87489,116662,132266,139261,168890,133382,113263
총계,법인체,개,10327,11024,12171,11378,11558,12543,12806
강력범죄,발생건수,건,26699,25152,26962,25277,25334,25765,27274
강력범죄,검거건수,건,22426,21187,23937,23897,24373,24897,26334
강력범죄,검거율,%,84,84.2,88.8,94.5,96.2,96.6,96.6
강력범죄,검거인원,명,25884,24670,26141,25671,26334,27487,29353
강력범죄,남자검거인원,명,24210,23124,24712,24459,25092,26278,28038
강력범죄,여자검거인원,명,1136,993,944,902,964,982,1089
강력범죄,불상검거인원,명,538,553,485,310,278,227,226
강력범죄,법인체,개,-,-,,1,,2,-
살인기수,발생건수,건,427,411,342,372,365,356,301
살인기수,검거건수,건,395,395,334,364,357,348,301
살인기수,검거율,%,92.5,96.1,97.7,97.8,97.8,97.8,100
살인기수,검거인원,명,452,454,385,459,407,386,354
살인기수,남자검거인원,명,367,350,307,344,307,304,276
살인기수,여자검거인원,명,82,101,77,105,89,82,72
살인기수,불상검거인원,명,3,3,1,10,11,-,6
살인기수,법인체,개,-,-,,,,-,-
살인,발생건수,건,342,340,299,306,312,282,245
살인,검거건수,건,318,326,289,299,304,277,248
살인,검거율,%,93,95.9,96.7,97.7,97.4,98.2,101.2
살인,검거인원,명,355,380,329,371,347,306,288
살인,남자검거인원,명,298,305,267,296,276,246,231
살인,여자검거인원,명,56,72,61,68,60,60,52
살인,불상검거인원,명,1,3,1,7,11,-,5
살인,법인체,개,-,-,,,,-,-
영아살해,발생건수,건,12,16,6,11,13,8,8
영아살해,검거건수,건,9,15,6,11,12,7,7
영아살해,검거율,%,75,93.8,100,100,92.3,87.5,87.5
영아살해,검거인원,명,13,15,6,12,14,7,11
영아살해,남자검거인원,명,3,-,,,2,-,2
영아살해,여자검거인원,명,10,15,6,12,12,7,9
영아살해,불상검거인원,명,-,-,,,,-,-
영아살해,법인체,개,-,-,,,,-,-
존속살해,발생건수,건,48,32,28,36,24,32,25
존속살해,검거건수,건,46,32,28,36,24,31,26
존속살해,검거율,%,95.8,100,100,100,100,96.9,104
존속살해,검거인원,명,53,33,37,50,24,31,26
존속살해,남자검거인원,명,44,27,30,34,20,27,25
존속살해,여자검거인원,명,9,6,7,16,4,4,1
존속살해,불상검거인원,명,-,-,,,,-,-
존속살해,법인체,개,-,-,,,,-,-
촉탁·승낙살인,발생건수,건,1,3,,3,1,1,1
촉탁·승낙살인,검거건수,건,1,3,,3,1,1,-
촉탁·승낙살인,검거율,%,100,100,,100,100,100,-
촉탁·승낙살인,검거인원,명,1,3,,5,1,1,1
촉탁·승낙살인,남자검거인원,명,1,3,,2,1,1,1
촉탁·승낙살인,여자검거인원,명,-,-,,2,,-,-
촉탁·승낙살인,불상검거인원,명,-,-,,1,,-,-
촉탁·승낙살인,법인체,개,-,-,,,,-,-
자살교사·방조,발생건수,건,21,20,7,16,15,33,22
자살교사·방조,검거건수,건,19,19,9,15,16,32,20
자살교사·방조,검거율,%,90.5,95,128.6,93.8,106.7,97,90.9
자살교사·방조,검거인원,명,25,23,10,21,21,41,28
자살교사·방조,남자검거인원,명,18,15,9,12,8,30,17
자살교사·방조,여자검거인원,명,5,8,1,7,13,11,10
자살교사·방조,불상검거인원,명,2,-,,2,,-,1
자살교사·방조,법인체,개,-,-,,,,-,-
위계·위력·촉탁·승낙살인,발생건수,건,3,-,2,,,-,-
위계·위력·촉탁·승낙살인,검거건수,건,2,-,2,,,-,-
위계·위력·촉탁·승낙살인,검거율,%,66.7,-,100,,,-,-
위계·위력·촉탁·승낙살인,검거인원,명,5,-,3,,,-,-
위계·위력·촉탁·승낙살인,남자검거인원,명,3,-,1,,,-,-
위계·위력·촉탁·승낙살인,여자검거인원,명,2,-,2,,,-,-
위계·위력·촉탁·승낙살인,불상검거인원,명,-,-,,,,-,-
위계·위력·촉탁·승낙살인,법인체,개,-,-,,,,-,-
특가법(보복살인등),발생건수,건,,,,,,-,-
특가법(보복살인등),검거건수,건,,,,,,-,-
특가법(보복살인등),검거율,%,,,,,,-,-
특가법(보복살인등),검거인원,명,,,,,,-,-
특가법(보복살인등),남자검거인원,명,,,,,,-,-
특가법(보복살인등),여자검거인원,명,,,,,,-,-
특가법(보복살인등),불상검거인원,명,,,,,,-,-
특가법(보복살인등),법인체,개,,,,,,-,-
살인미수등,발생건수,건,777,584,587,541,564,558,524
살인미수등,검거건수,건,759,576,579,537,552,561,525
살인미수등,검거율,%,97.7,98.6,98.6,99.3,97.9,100.5,100.2
살인미수등,검거인원,명,846,630,639,585,605,621,567
살인미수등,남자검거인원,명,750,553,569,518,527,557,499
살인미수등,여자검거인원,명,86,68,61,63,69,61,64
살인미수등,불상검거인원,명,10,9,9,4,9,3,4
살인미수등,법인체,개,-,-,,,,-,-
살인,발생건수,건,752,559,559,515,518,527,489
살인,검거건수,건,734,551,552,512,508,530,489
살인,검거율,%,97.6,98.6,98.7,99.4,98.1,100.6,100
살인,검거인원,명,812,601,611,558,554,576,513
살인,남자검거인원,명,730,532,549,498,487,523,456
살인,여자검거인원,명,72,60,54,57,58,50,53
살인,불상검거인원,명,10,9,8,3,9,3,4
살인,법인체,개,-,-,,,,-,-
영아살해,발생건수,건,-,-,1,,3,-,-
영아살해,검거건수,건,-,-,1,,3,-,-
영아살해,검거율,%,-,-,100,,100,-,-
영아살해,검거인원,명,-,-,1,,4,1,-
영아살해,남자검거인원,명,-,-,,,,1,-
영아살해,여자검거인원,명,-,-,1,,4,-,-
영아살해,불상검거인원,명,-,-,,,,-,-
영아살해,법인체,개,-,-,,,,-,-
존속살해,발생건수,건,20,18,21,24,31,23,23
존속살해,검거건수,건,20,18,21,23,30,22,24
존속살해,검거율,%,100,100,100,95.8,96.8,95.7,104.3
존속살해,검거인원,명,24,19,19,23,34,26,24
존속살해,남자검거인원,명,13,17,16,18,29,20,19
존속살해,여자검거인원,명,11,2,3,4,5,6,5
존속살해,불상검거인원,명,-,-,,1,,-,-
존속살해,법인체,개,-,-,,,,-,-
촉탁·승낙살인,발생건수,건,-,1,,,,-,-
촉탁·승낙살인,검거건수,건,-,1,,,,-,-
촉탁·승낙살인,검거율,%,-,100,,,,-,-
촉탁·승낙살인,검거인원,명,-,1,,,1,-,-
촉탁·승낙살인,남자검거인원,명,-,-,,,1,-,-
